receipt_id,line_id,product_id,product_name,category,sku,qty,unit_price,line_discount,line_tax
REC00000001,LINE00000001,POS-PROD0010,Patagonia Oversized Jacket,Outerwear,POS-SKU0089,2,80,7,9.6
REC00000001,LINE00000002,POS-PROD0019,Old Navy CoreFlex Skirt,Bottoms,POS-SKU0082,1,140,0,8.4
REC00000001,LINE00000003,POS-PROD0016,Nike PowerMesh Running Shorts,Activewear,POS-SKU0043,3,100,2,18.0
REC00000001,LINE00000004,POS-PROD0020,Old Navy EnduraFit Trousers,Bottoms,POS-SKU0012,1,180,7,10.8
REC00000001,LINE00000005,POS-PROD0005,Ralph Lauren Contemporary Shift Dress,Dresses,POS-SKU0094,2,270,8,32.4
REC00000002,LINE00000006,POS-PROD0001,Calvin Klein Padded Coat,Outerwear,POS-SKU0099,1,280,0,16.8
REC00000002,LINE00000007,POS-PROD0005,Ralph Lauren Contemporary Shift Dress,Dresses,POS-SKU0094,2,270,9,32.4
REC00000003,LINE00000008,POS-PROD0019,Old Navy CoreFlex Skirt,Bottoms,POS-SKU0082,2,140,9,16.8
REC00000003,LINE00000009,POS-PROD0016,Nike PowerMesh Running Shorts,Activewear,POS-SKU0043,3,100,6,18.0
REC00000003,LINE00000010,POS-PROD0005,Ralph Lauren Contemporary Shift Dress,Dresses,POS-SKU0094,3,270,1,48.6
REC00000004,LINE00000011,POS-PROD0008,Tommy Hilfiger SkinFit Blouse,Tops,POS-SKU0095,3,280,8,50.4
REC00000004,LINE00000012,POS-PROD0009,New Balance Slip-On Sandals,Shoes,POS-SKU0011,1,290,1,17.4
REC00000004,LINE00000013,POS-PROD0007,Adidas Cropped T-Shirt,Tops,POS-SKU0052,2,130,7,15.6
REC00000004,LINE00000014,POS-PROD0015,Tommy Hilfiger StormProof Jacket,Outerwear,POS-SKU0075,3,300,8,54.0
REC00000005,LINE00000015,POS-PROD0016,Nike PowerMesh Running Shorts,Activewear,POS-SKU0043,2,100,7,12.0
REC00000005,LINE00000016,POS-PROD0007,Adidas Cropped T-Shirt,Tops,POS-SKU0052,2,130,4,15.6
REC00000005,LINE00000017,POS-PROD0014,Old Navy SlimCore Cargo Pants,Bottoms,POS-SKU0073,3,150,0,27.0
REC00000005,LINE00000018,POS-PROD0004,The North Face UtilityStyle Coat,Outerwear,POS-SKU0062,3,50,0,9.0
REC00000005,LINE00000019,POS-PROD0006,Calvin Klein Layered Midi Dress,Dresses,POS-SKU0085,2,270,8,32.4
REC00000006,LINE00000020,POS-PROD0015,Tommy Hilfiger StormProof Jacket,Outerwear,POS-SKU0075,1,300,5,18.0
REC00000006,LINE00000021,POS-PROD0005,Ralph Lauren Contemporary Shift Dress,Dresses,POS-SKU0094,3,270,7,48.6
REC00000006,LINE00000022,POS-PROD0020,Old Navy EnduraFit Trousers,Bottoms,POS-SKU0012,1,180,9,10.8
REC00000006,LINE00000023,POS-PROD0004,The North Face UtilityStyle Coat,Outerwear,POS-SKU0062,1,50,0,3.0
REC00000006,LINE00000024,POS-PROD0018,Converse GlideStep Sneakers,Shoes,POS-SKU0015,3,100,8,18.0
REC00000007,LINE00000025,POS-PROD0006,Calvin Klein Layered Midi Dress,Dresses,POS-SKU0085,1,270,2,16.2
REC00000007,LINE00000026,POS-PROD0013,Lululemon RapidDry Running Shorts,Activewear,POS-SKU0057,3,100,5,18.0
REC00000007,LINE00000027,POS-PROD0020,Old Navy EnduraFit Trousers,Bottoms,POS-SKU0012,1,180,5,10.8
REC00000008,LINE00000028,POS-PROD0003,The North Face Quilted Cardigan,Outerwear,POS-SKU0034,1,130,3,7.8
REC00000008,LINE00000029,POS-PROD0010,Patagonia Oversized Jacket,Outerwear,POS-SKU0089,3,80,6,14.4
REC00000008,LINE00000030,POS-PROD0001,Calvin Klein Padded Coat,Outerwear,POS-SKU0099,3,280,2,50.4
REC00000008,LINE00000031,POS-PROD0017,Gap CoreFlex Jeans,Bottoms,POS-SKU0045,1,310,0,18.6
REC00000009,LINE00000032,POS-PROD0018,Converse GlideStep Sneakers,Shoes,POS-SKU0015,1,100,6,6.0
REC00000009,LINE00000033,POS-PROD0014,Old Navy SlimCore Cargo Pants,Bottoms,POS-SKU0073,3,150,4,27.0
REC00000009,LINE00000034,POS-PROD0013,Lululemon RapidDry Running Shorts,Activewear,POS-SKU0057,2,100,5,12.0
REC00000009,LINE00000035,POS-PROD0019,Old Navy CoreFlex Skirt,Bottoms,POS-SKU0082,1,140,1,8.4
REC00000010,LINE00000036,POS-PROD0012,Champion SkinFit Sports Bra,Activewear,POS-SKU0055,2,90,7,10.8
REC00000011,LINE00000037,POS-PROD0003,The North Face Quilted Cardigan,Outerwear,POS-SKU0034,2,130,6,15.6
REC00000012,LINE00000038,POS-PROD0010,Patagonia Oversized Jacket,Outerwear,POS-SKU0089,2,80,2,9.6
REC00000012,LINE00000039,POS-PROD0004,The North Face UtilityStyle Coat,Outerwear,POS-SKU0062,2,50,0,6.0
REC00000012,LINE00000040,POS-PROD0007,Adidas Cropped T-Shirt,Tops,POS-SKU0052,1,130,9,7.8
REC00000013,LINE00000041,POS-PROD0004,The North Face UtilityStyle Coat,Outerwear,POS-SKU0062,3,50,0,9.0
REC00000013,LINE00000042,POS-PROD0003,The North Face Quilted Cardigan,Outerwear,POS-SKU0034,2,130,0,15.6
REC00000014,LINE00000043,POS-PROD0013,Lululemon RapidDry Running Shorts,Activewear,POS-SKU0057,3,100,9,18.0
REC00000014,LINE00000044,POS-PROD0006,Calvin Klein Layered Midi Dress,Dresses,POS-SKU0085,1,270,2,16.2
REC00000014,LINE00000045,POS-PROD0001,Calvin Klein Padded Coat,Outerwear,POS-SKU0099,1,280,5,16.8
REC00000014,LINE00000046,POS-PROD0011,Vans GripLock Running Shoes,Shoes,POS-SKU0010,1,180,7,10.8
REC00000014,LINE00000047,POS-PROD0017,Gap CoreFlex Jeans,Bottoms,POS-SKU0045,1,310,3,18.6
REC00000015,LINE00000048,POS-PROD0010,Patagonia Oversized Jacket,Outerwear,POS-SKU0089,2,80,0,9.6
REC00000015,LINE00000049,POS-PROD0018,Converse GlideStep Sneakers,Shoes,POS-SKU0015,3,100,2,18.0
REC00000015,LINE00000050,POS-PROD0002,Reebok AirFlow Shirt,Tops,POS-SKU0005,3,200,6,36.0
REC00000015,LINE00000051,POS-PROD0009,New Balance Slip-On Sandals,Shoes,POS-SKU0011,1,290,8,17.4
REC00000015,LINE00000052,POS-PROD0011,Vans GripLock Running Shoes,Shoes,POS-SKU0010,2,180,1,21.6
REC00000016,LINE00000053,POS-PROD0017,Gap CoreFlex Jeans,Bottoms,POS-SKU0045,1,310,7,18.6
REC00000016,LINE00000054,POS-PROD0010,Patagonia Oversized Jacket,Outerwear,POS-SKU0089,1,80,0,4.8
REC00000016,LINE00000055,POS-PROD0013,Lululemon RapidDry Running Shorts,Activewear,POS-SKU0057,2,100,2,12.0
REC00000016,LINE00000056,POS-PROD0014,Old Navy SlimCore Cargo Pants,Bottoms,POS-SKU0073,3,150,5,27.0
REC00000016,LINE00000057,POS-PROD0020,Old Navy EnduraFit Trousers,Bottoms,POS-SKU0012,2,180,7,21.6
REC00000017,LINE00000058,POS-PROD0013,Lululemon RapidDry Running Shorts,Activewear,POS-SKU0057,2,100,6,12.0
REC00000017,LINE00000059,POS-PROD0017,Gap CoreFlex Jeans,Bottoms,POS-SKU0045,3,310,7,55.8
REC00000017,LINE00000060,POS-PROD0012,Champion SkinFit Sports Bra,Activewear,POS-SKU0055,1,90,8,5.4
REC00000017,LINE00000061,POS-PROD0005,Ralph Lauren Contemporary Shift Dress,Dresses,POS-SKU0094,2,270,1,32.4
REC00000018,LINE00000062,POS-PROD0004,The North Face UtilityStyle Coat,Outerwear,POS-SKU0062,3,50,0,9.0
REC00000018,LINE00000063,POS-PROD0002,Reebok AirFlow Shirt,Tops,POS-SKU0005,3,200,7,36.0
REC00000018,LINE00000064,POS-PROD0014,Old Navy SlimCore Cargo Pants,Bottoms,POS-SKU0073,1,150,5,9.0
REC00000019,LINE00000065,POS-PROD0020,Old Navy EnduraFit Trousers,Bottoms,POS-SKU0012,2,180,5,21.6
REC00000020,LINE00000066,POS-PROD0015,Tommy Hilfiger StormProof Jacket,Outerwear,POS-SKU0075,3,300,1,54.0
REC00000020,LINE00000067,POS-PROD0014,Old Navy SlimCore Cargo Pants,Bottoms,POS-SKU0073,2,150,3,18.0
REC00000020,LINE00000068,POS-PROD0012,Champion SkinFit Sports Bra,Activewear,POS-SKU0055,3,90,9,16.2
REC00000021,LINE00000069,POS-PROD0017,Gap CoreFlex Jeans,Bottoms,POS-SKU0045,3,310,9,55.8
REC00000021,LINE00000070,POS-PROD0016,Nike PowerMesh Running Shorts,Activewear,POS-SKU0043,2,100,8,12.0
REC00000021,LINE00000071,POS-PROD0018,Converse GlideStep Sneakers,Shoes,POS-SKU0015,2,100,1,12.0
REC00000021,LINE00000072,POS-PROD0005,Ralph Lauren Contemporary Shift Dress,Dresses,POS-SKU0094,2,270,4,32.4
REC00000022,LINE00000073,POS-PROD0006,Calvin Klein Layered Midi Dress,Dresses,POS-SKU0085,2,270,7,32.4
REC00000022,LINE00000074,POS-PROD0011,Vans GripLock Running Shoes,Shoes,POS-SKU0010,2,180,2,21.6
REC00000023,LINE00000075,POS-PROD0005,Ralph Lauren Contemporary Shift Dress,Dresses,POS-SKU0094,1,270,6,16.2
REC00000024,LINE00000076,POS-PROD0015,Tommy Hilfiger StormProof Jacket,Outerwear,POS-SKU0075,3,300,6,54.0
REC00000024,LINE00000077,POS-PROD0017,Gap CoreFlex Jeans,Bottoms,POS-SKU0045,2,310,5,37.2
REC00000024,LINE00000078,POS-PROD0002,Reebok AirFlow Shirt,Tops,POS-SKU0005,3,200,1,36.0
REC00000024,LINE00000079,POS-PROD0003,The North Face Quilted Cardigan,Outerwear,POS-SKU0034,2,130,1,15.6
REC00000025,LINE00000080,POS-PROD0005,Ralph Lauren Contemporary Shift Dress,Dresses,POS-SKU0094,1,270,2,16.2
REC00000025,LINE00000081,POS-PROD0006,Calvin Klein Layered Midi Dress,Dresses,POS-SKU0085,3,270,7,48.6
REC00000025,LINE00000082,POS-PROD0012,Champion SkinFit Sports Bra,Activewear,POS-SKU0055,2,90,1,10.8
REC00000026,LINE00000083,POS-PROD0008,Tommy Hilfiger SkinFit Blouse,Tops,POS-SKU0095,1,280,3,16.8
REC00000026,LINE00000084,POS-PROD0016,Nike PowerMesh Running Shorts,Activewear,POS-SKU0043,3,100,0,18.0
REC00000026,LINE00000085,POS-PROD0001,Calvin Klein Padded Coat,Outerwear,POS-SKU0099,3,280,0,50.4
REC00000027,LINE00000086,POS-PROD0012,Champion SkinFit Sports Bra,Activewear,POS-SKU0055,3,90,5,16.2
REC00000028,LINE00000087,POS-PROD0002,Reebok AirFlow Shirt,Tops,POS-SKU0005,2,200,2,24.0
REC00000028,LINE00000088,POS-PROD0015,Tommy Hilfiger StormProof Jacket,Outerwear,POS-SKU0075,1,300,3,18.0
REC00000028,LINE00000089,POS-PROD0006,Calvin Klein Layered Midi Dress,Dresses,POS-SKU0085,3,270,4,48.6
REC00000028,LINE00000090,POS-PROD0016,Nike PowerMesh Running Shorts,Activewear,POS-SKU0043,2,100,7,12.0
REC00000029,LINE00000091,POS-PROD0006,Calvin Klein Layered Midi Dress,Dresses,POS-SKU0085,3,270,8,48.6
REC00000029,LINE00000092,POS-PROD0008,Tommy Hilfiger SkinFit Blouse,Tops,POS-SKU0095,1,280,7,16.8
REC00000030,LINE00000093,POS-PROD0016,Nike PowerMesh Running Shorts,Activewear,POS-SKU0043,2,100,5,12.0
REC00000030,LINE00000094,POS-PROD0014,Old Navy SlimCore Cargo Pants,Bottoms,POS-SKU0073,3,150,5,27.0
REC00000030,LINE00000095,POS-PROD0007,Adidas Cropped T-Shirt,Tops,POS-SKU0052,3,130,9,23.4
REC00000030,LINE00000096,POS-PROD0018,Converse GlideStep Sneakers,Shoes,POS-SKU0015,3,100,7,18.0
REC00000030,LINE00000097,POS-PROD0005,Ralph Lauren Contemporary Shift Dress,Dresses,POS-SKU0094,3,270,9,48.6
REC00000031,LINE00000098,POS-PROD0020,Old Navy EnduraFit Trousers,Bottoms,POS-SKU0012,3,180,0,32.4
REC00000031,LINE00000099,POS-PROD0018,Converse GlideStep Sneakers,Shoes,POS-SKU0015,1,100,4,6.0
REC00000032,LINE00000100,POS-PROD0012,Champion SkinFit Sports Bra,Activewear,POS-SKU0055,2,90,1,10.8
REC00000033,LINE00000101,POS-PROD0010,Patagonia Oversized Jacket,Outerwear,POS-SKU0089,1,80,5,4.8
REC00000033,LINE00000102,POS-PROD0003,The North Face Quilted Cardigan,Outerwear,POS-SKU0034,3,130,2,23.4
REC00000033,LINE00000103,POS-PROD0011,Vans GripLock Running Shoes,Shoes,POS-SKU0010,2,180,5,21.6
REC00000033,LINE00000104,POS-PROD0006,Calvin Klein Layered Midi Dress,Dresses,POS-SKU0085,3,270,6,48.6
REC00000034,LINE00000105,POS-PROD0010,Patagonia Oversized Jacket,Outerwear,POS-SKU0089,1,80,3,4.8
REC00000034,LINE00000106,POS-PROD0012,Champion SkinFit Sports Bra,Activewear,POS-SKU0055,2,90,9,10.8
REC00000035,LINE00000107,POS-PROD0019,Old Navy CoreFlex Skirt,Bottoms,POS-SKU0082,3,140,1,25.2
REC00000035,LINE00000108,POS-PROD0008,Tommy Hilfiger SkinFit Blouse,Tops,POS-SKU0095,2,280,5,33.6
REC00000035,LINE00000109,POS-PROD0010,Patagonia Oversized Jacket,Outerwear,POS-SKU0089,1,80,5,4.8
REC00000036,LINE00000110,POS-PROD0010,Patagonia Oversized Jacket,Outerwear,POS-SKU0089,1,80,8,4.8
REC00000036,LINE00000111,POS-PROD0008,Tommy Hilfiger SkinFit Blouse,Tops,POS-SKU0095,3,280,9,50.4
REC00000037,LINE00000112,POS-PROD0009,New Balance Slip-On Sandals,Shoes,POS-SKU0011,3,290,3,52.2
REC00000037,LINE00000113,POS-PROD0011,Vans GripLock Running Shoes,Shoes,POS-SKU0010,3,180,9,32.4
REC00000037,LINE00000114,POS-PROD0008,Tommy Hilfiger SkinFit Blouse,Tops,POS-SKU0095,2,280,5,33.6
REC00000038,LINE00000115,POS-PROD0002,Reebok AirFlow Shirt,Tops,POS-SKU0005,2,200,5,24.0
REC00000038,LINE00000116,POS-PROD0003,The North Face Quilted Cardigan,Outerwear,POS-SKU0034,2,130,6,15.6
REC00000039,LINE00000117,POS-PROD0013,Lululemon RapidDry Running Shorts,Activewear,POS-SKU0057,3,100,3,18.0
REC00000039,LINE00000118,POS-PROD0004,The North Face UtilityStyle Coat,Outerwear,POS-SKU0062,2,50,0,6.0
REC00000039,LINE00000119,POS-PROD0020,Old Navy EnduraFit Trousers,Bottoms,POS-SKU0012,1,180,0,10.8
REC00000040,LINE00000120,POS-PROD0009,New Balance Slip-On Sandals,Shoes,POS-SKU0011,1,290,5,17.4
REC00000040,LINE00000121,POS-PROD0017,Gap CoreFlex Jeans,Bottoms,POS-SKU0045,1,310,0,18.6
REC00000040,LINE00000122,POS-PROD0008,Tommy Hilfiger SkinFit Blouse,Tops,POS-SKU0095,1,280,8,16.8
REC00000040,LINE00000123,POS-PROD0013,Lululemon RapidDry Running Shorts,Activewear,POS-SKU0057,3,100,8,18.0
REC00000041,LINE00000124,POS-PROD0012,Champion SkinFit Sports Bra,Activewear,POS-SKU0055,3,90,2,16.2
REC00000041,LINE00000125,POS-PROD0004,The North Face UtilityStyle Coat,Outerwear,POS-SKU0062,2,50,0,6.0
REC00000041,LINE00000126,POS-PROD0019,Old Navy CoreFlex Skirt,Bottoms,POS-SKU0082,1,140,4,8.4
REC00000041,LINE00000127,POS-PROD0005,Ralph Lauren Contemporary Shift Dress,Dresses,POS-SKU0094,2,270,7,32.4
REC00000042,LINE00000128,POS-PROD0005,Ralph Lauren Contemporary Shift Dress,Dresses,POS-SKU0094,2,270,8,32.4
REC00000043,LINE00000129,POS-PROD0013,Lululemon RapidDry Running Shorts,Activewear,POS-SKU0057,1,100,1,6.0
REC00000043,LINE00000130,POS-PROD0016,Nike PowerMesh Running Shorts,Activewear,POS-SKU0043,2,100,0,12.0
REC00000043,LINE00000131,POS-PROD0001,Calvin Klein Padded Coat,Outerwear,POS-SKU0099,2,280,7,33.6
REC00000043,LINE00000132,POS-PROD0018,Converse GlideStep Sneakers,Shoes,POS-SKU0015,3,100,0,18.0
REC00000043,LINE00000133,POS-PROD0009,New Balance Slip-On Sandals,Shoes,POS-SKU0011,3,290,0,52.2
REC00000044,LINE00000134,POS-PROD0006,Calvin Klein Layered Midi Dress,Dresses,POS-SKU0085,3,270,6,48.6
REC00000044,LINE00000135,POS-PROD0004,The North Face UtilityStyle Coat,Outerwear,POS-SKU0062,2,50,0,6.0
REC00000044,LINE00000136,POS-PROD0013,Lululemon RapidDry Running Shorts,Activewear,POS-SKU0057,3,100,5,18.0
REC00000045,LINE00000137,POS-PROD0007,Adidas Cropped T-Shirt,Tops,POS-SKU0052,1,130,9,7.8
REC00000045,LINE00000138,POS-PROD0009,New Balance Slip-On Sandals,Shoes,POS-SKU0011,3,290,4,52.2
REC00000045,LINE00000139,POS-PROD0010,Patagonia Oversized Jacket,Outerwear,POS-SKU0089,1,80,0,4.8
REC00000046,LINE00000140,POS-PROD0009,New Balance Slip-On Sandals,Shoes,POS-SKU0011,1,290,3,17.4
REC00000046,LINE00000141,POS-PROD0001,Calvin Klein Padded Coat,Outerwear,POS-SKU0099,3,280,2,50.4
REC00000046,LINE00000142,POS-PROD0012,Champion SkinFit Sports Bra,Activewear,POS-SKU0055,3,90,6,16.2
REC00000046,LINE00000143,POS-PROD0007,Adidas Cropped T-Shirt,Tops,POS-SKU0052,2,130,7,15.6
REC00000047,LINE00000144,POS-PROD0012,Champion SkinFit Sports Bra,Activewear,POS-SKU0055,1,90,3,5.4
REC00000047,LINE00000145,POS-PROD0002,Reebok AirFlow Shirt,Tops,POS-SKU0005,3,200,4,36.0
REC00000047,LINE00000146,POS-PROD0005,Ralph Lauren Contemporary Shift Dress,Dresses,POS-SKU0094,1,270,0,16.2
REC00000047,LINE00000147,POS-PROD0006,Calvin Klein Layered Midi Dress,Dresses,POS-SKU0085,3,270,6,48.6
REC00000047,LINE00000148,POS-PROD0019,Old Navy CoreFlex Skirt,Bottoms,POS-SKU0082,2,140,8,16.8
REC00000048,LINE00000149,POS-PROD0011,Vans GripLock Running Shoes,Shoes,POS-SKU0010,3,180,2,32.4
REC00000048,LINE00000150,POS-PROD0012,Champion SkinFit Sports Bra,Activewear,POS-SKU0055,2,90,0,10.8
