receipt_id,line_id,product_id,product_name,category,sku,qty,unit_price,line_discount,line_tax
REC00000048,LINE00000151,POS-PROD0007,Adidas Cropped T-Shirt,Tops,POS-SKU0052,1,130,7,7.8
REC00000049,LINE00000152,POS-PROD0016,Nike PowerMesh Running Shorts,Activewear,POS-SKU0043,1,100,8,6.0
REC00000049,LINE00000153,POS-PROD0009,New Balance Slip-On Sandals,Shoes,POS-SKU0011,1,290,5,17.4
REC00000050,LINE00000154,POS-PROD0008,Tommy Hilfiger SkinFit Blouse,Tops,POS-SKU0095,2,280,9,33.6
REC00000050,LINE00000155,POS-PROD0014,Old Navy SlimCore Cargo Pants,Bottoms,POS-SKU0073,1,150,9,9.0
REC00000050,LINE00000156,POS-PROD0015,Tommy Hilfiger StormProof Jacket,Outerwear,POS-SKU0075,1,300,8,18.0
REC00000051,LINE00000157,POS-PROD0015,Tommy Hilfiger StormProof Jacket,Outerwear,POS-SKU0075,3,300,5,54.0
REC00000051,LINE00000158,POS-PROD0003,The North Face Quilted Cardigan,Outerwear,POS-SKU0034,1,130,2,7.8
REC00000052,LINE00000159,POS-PROD0018,Converse GlideStep Sneakers,Shoes,POS-SKU0015,2,100,8,12.0
REC00000052,LINE00000160,POS-PROD0015,Tommy Hilfiger StormProof Jacket,Outerwear,POS-SKU0075,2,300,3,36.0
REC00000052,LINE00000161,POS-PROD0007,Adidas Cropped T-Shirt,Tops,POS-SKU0052,3,130,1,23.4
REC00000052,LINE00000162,POS-PROD0001,Calvin Klein Padded Coat,Outerwear,POS-SKU0099,3,280,2,50.4
REC00000053,LINE00000163,POS-PROD0010,Patagonia Oversized Jacket,Outerwear,POS-SKU0089,2,80,3,9.6
REC00000053,LINE00000164,POS-PROD0018,Converse GlideStep Sneakers,Shoes,POS-SKU0015,3,100,8,18.0
REC00000053,LINE00000165,POS-PROD0003,The North Face Quilted Cardigan,Outerwear,POS-SKU0034,3,130,8,23.4
REC00000053,LINE00000166,POS-PROD0009,New Balance Slip-On Sandals,Shoes,POS-SKU0011,3,290,4,52.2
REC00000053,LINE00000167,POS-PROD0005,Ralph Lauren Contemporary Shift Dress,Dresses,POS-SKU0094,1,270,8,16.2
REC00000054,LINE00000168,POS-PROD0003,The North Face Quilted Cardigan,Outerwear,POS-SKU0034,3,130,7,23.4
REC00000054,LINE00000169,POS-PROD0002,Reebok AirFlow Shirt,Tops,POS-SKU0005,1,200,5,12.0
REC00000054,LINE00000170,POS-PROD0016,Nike PowerMesh Running Shorts,Activewear,POS-SKU0043,2,100,0,12.0
REC00000054,LINE00000171,POS-PROD0015,Tommy Hilfiger StormProof Jacket,Outerwear,POS-SKU0075,3,300,1,54.0
REC00000055,LINE00000172,POS-PROD0008,Tommy Hilfiger SkinFit Blouse,Tops,POS-SKU0095,2,280,4,33.6
REC00000055,LINE00000173,POS-PROD0020,Old Navy EnduraFit Trousers,Bottoms,POS-SKU0012,1,180,2,10.8
REC00000055,LINE00000174,POS-PROD0005,Ralph Lauren Contemporary Shift Dress,Dresses,POS-SKU0094,3,270,9,48.6
REC00000055,LINE00000175,POS-PROD0009,New Balance Slip-On Sandals,Shoes,POS-SKU0011,2,290,1,34.8
REC00000056,LINE00000176,POS-PROD0010,Patagonia Oversized Jacket,Outerwear,POS-SKU0089,2,80,5,9.6
REC00000056,LINE00000177,POS-PROD0012,Champion SkinFit Sports Bra,Activewear,POS-SKU0055,2,90,6,10.8
REC00000057,LINE00000178,POS-PROD0017,Gap CoreFlex Jeans,Bottoms,POS-SKU0045,2,310,9,37.2
REC00000057,LINE00000179,POS-PROD0018,Converse GlideStep Sneakers,Shoes,POS-SKU0015,1,100,5,6.0
REC00000058,LINE00000180,POS-PROD0009,New Balance Slip-On Sandals,Shoes,POS-SKU0011,3,290,1,52.2
REC00000058,LINE00000181,POS-PROD0015,Tommy Hilfiger StormProof Jacket,Outerwear,POS-SKU0075,3,300,7,54.0
REC00000058,LINE00000182,POS-PROD0001,Calvin Klein Padded Coat,Outerwear,POS-SKU0099,2,280,4,33.6
REC00000059,LINE00000183,POS-PROD0007,Adidas Cropped T-Shirt,Tops,POS-SKU0052,2,130,1,15.6
REC00000060,LINE00000184,POS-PROD0010,Patagonia Oversized Jacket,Outerwear,POS-SKU0089,1,80,2,4.8
REC00000060,LINE00000185,POS-PROD0008,Tommy Hilfiger SkinFit Blouse,Tops,POS-SKU0095,1,280,0,16.8
REC00000060,LINE00000186,POS-PROD0004,The North Face UtilityStyle Coat,Outerwear,POS-SKU0062,2,50,0,6.0
REC00000061,LINE00000187,POS-PROD0015,Tommy Hilfiger StormProof Jacket,Outerwear,POS-SKU0075,3,300,4,54.0
REC00000062,LINE00000188,POS-PROD0010,Patagonia Oversized Jacket,Outerwear,POS-SKU0089,3,80,1,14.4
REC00000062,LINE00000189,POS-PROD0011,Vans GripLock Running Shoes,Shoes,POS-SKU0010,3,180,0,32.4
REC00000063,LINE00000190,POS-PROD0017,Gap CoreFlex Jeans,Bottoms,POS-SKU0045,1,310,1,18.6
REC00000063,LINE00000191,POS-PROD0005,Ralph Lauren Contemporary Shift Dress,Dresses,POS-SKU0094,1,270,5,16.2
REC00000063,LINE00000192,POS-PROD0011,Vans GripLock Running Shoes,Shoes,POS-SKU0010,2,180,5,21.6
REC00000063,LINE00000193,POS-PROD0014,Old Navy SlimCore Cargo Pants,Bottoms,POS-SKU0073,1,150,6,9.0
REC00000063,LINE00000194,POS-PROD0020,Old Navy EnduraFit Trousers,Bottoms,POS-SKU0012,1,180,0,10.8
REC00000064,LINE00000195,POS-PROD0007,Adidas Cropped T-Shirt,Tops,POS-SKU0052,1,130,0,7.8
REC00000064,LINE00000196,POS-PROD0020,Old Navy EnduraFit Trousers,Bottoms,POS-SKU0012,1,180,9,10.8
REC00000064,LINE00000197,POS-PROD0009,New Balance Slip-On Sandals,Shoes,POS-SKU0011,3,290,4,52.2
REC00000064,LINE00000198,POS-PROD0010,Patagonia Oversized Jacket,Outerwear,POS-SKU0089,1,80,0,4.8
REC00000064,LINE00000199,POS-PROD0008,Tommy Hilfiger SkinFit Blouse,Tops,POS-SKU0095,3,280,4,50.4
REC00000065,LINE00000200,POS-PROD0014,Old Navy SlimCore Cargo Pants,Bottoms,POS-SKU0073,1,150,9,9.0
REC00000065,LINE00000201,POS-PROD0001,Calvin Klein Padded Coat,Outerwear,POS-SKU0099,2,280,5,33.6
REC00000066,LINE00000202,POS-PROD0003,The North Face Quilted Cardigan,Outerwear,POS-SKU0034,3,130,7,23.4
REC00000066,LINE00000203,POS-PROD0019,Old Navy CoreFlex Skirt,Bottoms,POS-SKU0082,1,140,2,8.4
REC00000067,LINE00000204,POS-PROD0015,Tommy Hilfiger StormProof Jacket,Outerwear,POS-SKU0075,1,300,5,18.0
REC00000067,LINE00000205,POS-PROD0020,Old Navy EnduraFit Trousers,Bottoms,POS-SKU0012,1,180,8,10.8
REC00000067,LINE00000206,POS-PROD0007,Adidas Cropped T-Shirt,Tops,POS-SKU0052,3,130,0,23.4
REC00000068,LINE00000207,POS-PROD0015,Tommy Hilfiger StormProof Jacket,Outerwear,POS-SKU0075,1,300,9,18.0
REC00000068,LINE00000208,POS-PROD0006,Calvin Klein Layered Midi Dress,Dresses,POS-SKU0085,1,270,9,16.2
REC00000068,LINE00000209,POS-PROD0019,Old Navy CoreFlex Skirt,Bottoms,POS-SKU0082,3,140,5,25.2
REC00000069,LINE00000210,POS-PROD0015,Tommy Hilfiger StormProof Jacket,Outerwear,POS-SKU0075,1,300,3,18.0
REC00000070,LINE00000211,POS-PROD0016,Nike PowerMesh Running Shorts,Activewear,POS-SKU0043,2,100,6,12.0
REC00000071,LINE00000212,POS-PROD0010,Patagonia Oversized Jacket,Outerwear,POS-SKU0089,3,80,0,14.4
REC00000071,LINE00000213,POS-PROD0001,Calvin Klein Padded Coat,Outerwear,POS-SKU0099,2,280,5,33.6
REC00000072,LINE00000214,POS-PROD0009,New Balance Slip-On Sandals,Shoes,POS-SKU0011,1,290,4,17.4
REC00000073,LINE00000215,POS-PROD0006,Calvin Klein Layered Midi Dress,Dresses,POS-SKU0085,1,270,3,16.2
REC00000073,LINE00000216,POS-PROD0014,Old Navy SlimCore Cargo Pants,Bottoms,POS-SKU0073,1,150,3,9.0
REC00000073,LINE00000217,POS-PROD0011,Vans GripLock Running Shoes,Shoes,POS-SKU0010,3,180,3,32.4
REC00000074,LINE00000218,POS-PROD0020,Old Navy EnduraFit Trousers,Bottoms,POS-SKU0012,3,180,7,32.4
REC00000074,LINE00000219,POS-PROD0009,New Balance Slip-On Sandals,Shoes,POS-SKU0011,1,290,4,17.4
REC00000074,LINE00000220,POS-PROD0005,Ralph Lauren Contemporary Shift Dress,Dresses,POS-SKU0094,3,270,3,48.6
REC00000074,LINE00000221,POS-PROD0010,Patagonia Oversized Jacket,Outerwear,POS-SKU0089,1,80,6,4.8
REC00000075,LINE00000222,POS-PROD0019,Old Navy CoreFlex Skirt,Bottoms,POS-SKU0082,2,140,6,16.8
REC00000075,LINE00000223,POS-PROD0018,Converse GlideStep Sneakers,Shoes,POS-SKU0015,2,100,6,12.0
REC00000075,LINE00000224,POS-PROD0007,Adidas Cropped T-Shirt,Tops,POS-SKU0052,3,130,1,23.4
REC00000075,LINE00000225,POS-PROD0001,Calvin Klein Padded Coat,Outerwear,POS-SKU0099,3,280,2,50.4
REC00000076,LINE00000226,POS-PROD0011,Vans GripLock Running Shoes,Shoes,POS-SKU0010,2,180,8,21.6
REC00000077,LINE00000227,POS-PROD0014,Old Navy SlimCore Cargo Pants,Bottoms,POS-SKU0073,1,150,5,9.0
REC00000077,LINE00000228,POS-PROD0001,Calvin Klein Padded Coat,Outerwear,POS-SKU0099,3,280,0,50.4
REC00000077,LINE00000229,POS-PROD0011,Vans GripLock Running Shoes,Shoes,POS-SKU0010,1,180,1,10.8
REC00000077,LINE00000230,POS-PROD0018,Converse GlideStep Sneakers,Shoes,POS-SKU0015,3,100,7,18.0
REC00000077,LINE00000231,POS-PROD0004,The North Face UtilityStyle Coat,Outerwear,POS-SKU0062,3,50,0,9.0
REC00000078,LINE00000232,POS-PROD0012,Champion SkinFit Sports Bra,Activewear,POS-SKU0055,2,90,5,10.8
REC00000078,LINE00000233,POS-PROD0004,The North Face UtilityStyle Coat,Outerwear,POS-SKU0062,2,50,0,6.0
REC00000078,LINE00000234,POS-PROD0020,Old Navy EnduraFit Trousers,Bottoms,POS-SKU0012,3,180,6,32.4
REC00000078,LINE00000235,POS-PROD0019,Old Navy CoreFlex Skirt,Bottoms,POS-SKU0082,1,140,9,8.4
REC00000078,LINE00000236,POS-PROD0005,Ralph Lauren Contemporary Shift Dress,Dresses,POS-SKU0094,1,270,4,16.2
REC00000079,LINE00000237,POS-PROD0019,Old Navy CoreFlex Skirt,Bottoms,POS-SKU0082,2,140,8,16.8
REC00000079,LINE00000238,POS-PROD0013,Lululemon RapidDry Running Shorts,Activewear,POS-SKU0057,2,100,2,12.0
REC00000079,LINE00000239,POS-PROD0012,Champion SkinFit Sports Bra,Activewear,POS-SKU0055,3,90,3,16.2
REC00000079,LINE00000240,POS-PROD0010,Patagonia Oversized Jacket,Outerwear,POS-SKU0089,1,80,7,4.8
REC00000080,LINE00000241,POS-PROD0012,Champion SkinFit Sports Bra,Activewear,POS-SKU0055,3,90,5,16.2
REC00000080,LINE00000242,POS-PROD0015,Tommy Hilfiger StormProof Jacket,Outerwear,POS-SKU0075,2,300,7,36.0
REC00000080,LINE00000243,POS-PROD0008,Tommy Hilfiger SkinFit Blouse,Tops,POS-SKU0095,1,280,0,16.8
REC00000080,LINE00000244,POS-PROD0002,Reebok AirFlow Shirt,Tops,POS-SKU0005,1,200,0,12.0
REC00000081,LINE00000245,POS-PROD0001,Calvin Klein Padded Coat,Outerwear,POS-SKU0099,3,280,5,50.4
REC00000081,LINE00000246,POS-PROD0002,Reebok AirFlow Shirt,Tops,POS-SKU0005,1,200,8,12.0
REC00000081,LINE00000247,POS-PROD0011,Vans GripLock Running Shoes,Shoes,POS-SKU0010,1,180,8,10.8
REC00000082,LINE00000248,POS-PROD0005,Ralph Lauren Contemporary Shift Dress,Dresses,POS-SKU0094,2,270,8,32.4
REC00000082,LINE00000249,POS-PROD0008,Tommy Hilfiger SkinFit Blouse,Tops,POS-SKU0095,3,280,6,50.4
REC00000083,LINE00000250,POS-PROD0006,Calvin Klein Layered Midi Dress,Dresses,POS-SKU0085,3,270,3,48.6
REC00000083,LINE00000251,POS-PROD0020,Old Navy EnduraFit Trousers,Bottoms,POS-SKU0012,3,180,2,32.4
REC00000083,LINE00000252,POS-PROD0003,The North Face Quilted Cardigan,Outerwear,POS-SKU0034,2,130,2,15.6
REC00000083,LINE00000253,POS-PROD0004,The North Face UtilityStyle Coat,Outerwear,POS-SKU0062,2,50,0,6.0
REC00000083,LINE00000254,POS-PROD0014,Old Navy SlimCore Cargo Pants,Bottoms,POS-SKU0073,3,150,9,27.0
REC00000084,LINE00000255,POS-PROD0016,Nike PowerMesh Running Shorts,Activewear,POS-SKU0043,2,100,6,12.0
REC00000084,LINE00000256,POS-PROD0020,Old Navy EnduraFit Trousers,Bottoms,POS-SKU0012,2,180,5,21.6
REC00000084,LINE00000257,POS-PROD0009,New Balance Slip-On Sandals,Shoes,POS-SKU0011,3,290,1,52.2
REC00000084,LINE00000258,POS-PROD0005,Ralph Lauren Contemporary Shift Dress,Dresses,POS-SKU0094,3,270,1,48.6
REC00000084,LINE00000259,POS-PROD0012,Champion SkinFit Sports Bra,Activewear,POS-SKU0055,2,90,1,10.8
REC00000085,LINE00000260,POS-PROD0009,New Balance Slip-On Sandals,Shoes,POS-SKU0011,3,290,5,52.2
REC00000086,LINE00000261,POS-PROD0015,Tommy Hilfiger StormProof Jacket,Outerwear,POS-SKU0075,3,300,7,54.0
REC00000087,LINE00000262,POS-PROD0005,Ralph Lauren Contemporary Shift Dress,Dresses,POS-SKU0094,3,270,3,48.6
REC00000087,LINE00000263,POS-PROD0017,Gap CoreFlex Jeans,Bottoms,POS-SKU0045,1,310,1,18.6
REC00000087,LINE00000264,POS-PROD0018,Converse GlideStep Sneakers,Shoes,POS-SKU0015,2,100,6,12.0
REC00000087,LINE00000265,POS-PROD0008,Tommy Hilfiger SkinFit Blouse,Tops,POS-SKU0095,2,280,9,33.6
REC00000087,LINE00000266,POS-PROD0001,Calvin Klein Padded Coat,Outerwear,POS-SKU0099,1,280,4,16.8
REC00000088,LINE00000267,POS-PROD0003,The North Face Quilted Cardigan,Outerwear,POS-SKU0034,2,130,1,15.6
REC00000088,LINE00000268,POS-PROD0010,Patagonia Oversized Jacket,Outerwear,POS-SKU0089,2,80,1,9.6
REC00000088,LINE00000269,POS-PROD0019,Old Navy CoreFlex Skirt,Bottoms,POS-SKU0082,2,140,1,16.8
REC00000088,LINE00000270,POS-PROD0017,Gap CoreFlex Jeans,Bottoms,POS-SKU0045,2,310,6,37.2
REC00000089,LINE00000271,POS-PROD0012,Champion SkinFit Sports Bra,Activewear,POS-SKU0055,2,90,9,10.8
REC00000090,LINE00000272,POS-PROD0007,Adidas Cropped T-Shirt,Tops,POS-SKU0052,2,130,1,15.6
REC00000090,LINE00000273,POS-PROD0014,Old Navy SlimCore Cargo Pants,Bottoms,POS-SKU0073,3,150,9,27.0
REC00000090,LINE00000274,POS-PROD0016,Nike PowerMesh Running Shorts,Activewear,POS-SKU0043,2,100,0,12.0
REC00000090,LINE00000275,POS-PROD0004,The North Face UtilityStyle Coat,Outerwear,POS-SKU0062,2,50,0,6.0
REC00000091,LINE00000276,POS-PROD0008,Tommy Hilfiger SkinFit Blouse,Tops,POS-SKU0095,3,280,6,50.4
REC00000091,LINE00000277,POS-PROD0005,Ralph Lauren Contemporary Shift Dress,Dresses,POS-SKU0094,2,270,0,32.4
REC00000092,LINE00000278,POS-PROD0019,Old Navy CoreFlex Skirt,Bottoms,POS-SKU0082,1,140,6,8.4
REC00000093,LINE00000279,POS-PROD0015,Tommy Hilfiger StormProof Jacket,Outerwear,POS-SKU0075,1,300,2,18.0
REC00000094,LINE00000280,POS-PROD0020,Old Navy EnduraFit Trousers,Bottoms,POS-SKU0012,1,180,7,10.8
REC00000094,LINE00000281,POS-PROD0007,Adidas Cropped T-Shirt,Tops,POS-SKU0052,3,130,1,23.4
REC00000094,LINE00000282,POS-PROD0015,Tommy Hilfiger StormProof Jacket,Outerwear,POS-SKU0075,3,300,7,54.0
REC00000094,LINE00000283,POS-PROD0002,Reebok AirFlow Shirt,Tops,POS-SKU0005,2,200,4,24.0
REC00000095,LINE00000284,POS-PROD0005,Ralph Lauren Contemporary Shift Dress,Dresses,POS-SKU0094,3,270,8,48.6
REC00000095,LINE00000285,POS-PROD0002,Reebok AirFlow Shirt,Tops,POS-SKU0005,1,200,1,12.0
REC00000096,LINE00000286,POS-PROD0017,Gap CoreFlex Jeans,Bottoms,POS-SKU0045,3,310,1,55.8
REC00000096,LINE00000287,POS-PROD0011,Vans GripLock Running Shoes,Shoes,POS-SKU0010,3,180,8,32.4
REC00000096,LINE00000288,POS-PROD0006,Calvin Klein Layered Midi Dress,Dresses,POS-SKU0085,2,270,6,32.4
REC00000096,LINE00000289,POS-PROD0004,The North Face UtilityStyle Coat,Outerwear,POS-SKU0062,3,50,0,9.0
REC00000096,LINE00000290,POS-PROD0002,Reebok AirFlow Shirt,Tops,POS-SKU0005,1,200,8,12.0
REC00000097,LINE00000291,POS-PROD0012,Champion SkinFit Sports Bra,Activewear,POS-SKU0055,2,90,4,10.8
REC00000097,LINE00000292,POS-PROD0014,Old Navy SlimCore Cargo Pants,Bottoms,POS-SKU0073,3,150,2,27.0
REC00000097,LINE00000293,POS-PROD0004,The North Face UtilityStyle Coat,Outerwear,POS-SKU0062,2,50,0,6.0
REC00000097,LINE00000294,POS-PROD0013,Lululemon RapidDry Running Shorts,Activewear,POS-SKU0057,3,100,6,18.0
REC00000098,LINE00000295,POS-PROD0014,Old Navy SlimCore Cargo Pants,Bottoms,POS-SKU0073,2,150,0,18.0
REC00000099,LINE00000296,POS-PROD0008,Tommy Hilfiger SkinFit Blouse,Tops,POS-SKU0095,2,280,0,33.6
REC00000099,LINE00000297,POS-PROD0017,Gap CoreFlex Jeans,Bottoms,POS-SKU0045,2,310,6,37.2
REC00000099,LINE00000298,POS-PROD0011,Vans GripLock Running Shoes,Shoes,POS-SKU0010,1,180,5,10.8
REC00000099,LINE00000299,POS-PROD0009,New Balance Slip-On Sandals,Shoes,POS-SKU0011,3,290,4,52.2
REC00000099,LINE00000300,POS-PROD0020,Old Navy EnduraFit Trousers,Bottoms,POS-SKU0012,3,180,7,32.4
REC00000100,LINE00000301,POS-PROD0001,Calvin Klein Padded Coat,Outerwear,POS-SKU0099,1,280,6,16.8
REC00000100,LINE00000302,POS-PROD0009,New Balance Slip-On Sandals,Shoes,POS-SKU0011,3,290,4,52.2
